,Title,Company,Location,Skills
225,Social Media Marketing,FinX Institute Limited,Mumbai,Social Media MarketingDigital MarketingCreative WritingInstagram Marketing
226,Data Analytics,Stirring Minds,Delhi,PythonSQLTime ManagementData AnalyticsMS-ExcelClient Relationship Management (CRM)Power BI+2 more
227,AI Content Assistant,Grivaa Consultancy Services,Work from home,Generative AI ToolsChatGPTElevenlabs (GenAI)HeyGen (GenAI)
228,Founders Office,Ayurveda House Private Limited,Delhi,Social Media MarketingData AnalyticsMS-ExcelProduct DevelopmentEffective CommunicationProduct Strategy
229,Graphic Design,MullenLowe Lintas Group,Mumbai,Adobe PhotoshopUI & UX Design
230,AI/ML Python,Tellis Technologies Private Limited,Work from home,JavaScriptPythonMachine LearningArtificial intelligenceMERN
231,AI Graphics Designer,Codematics Solution LLP,Work from home,CorelDRAWProject ManagementAdobe Creative SuiteSoftware TestingCreative WritingUI & UX DesignSketch+4 more
232,Artificial Intelligence (AI),Stirring Minds,Work from home,PythonSQLData StructuresMachine LearningData ScienceNeural NetworksRTOS+7 more
233,CGOps,Taskify,Bangalore,Time ManagementStrategyPlanningOperationsMS-ExcelInterpersonal skillsEffective Communication+2 more
234,Search Engine Optimization (SEO),Delhi Chai Cafe,Delhi,Social Media MarketingGoogle AnalyticsSearch Engine Marketing (SEM)Digital MarketingGoogle AdWordsEnglish Proficiency (Written)
235,Software Engineering- AI Agent Integration Team,EmergentLabs,Bangalore,PythonProblem SolvingArtificial intelligenceAPIsDebuggingPrompt Engineering
236,Performance Marketing,Baweja Media,Work from home,Google AnalyticsGoogle AdWordsEnglish Proficiency (Spoken)Facebook AdsPerformance Marketing
237,Python Development,Scoreazy Edutech Private Limited,Work from home,PythonREST APIFastAPIOpenAI APIStreamlitPrompt Engineering
238,Finance Research Analyst,Edify Equity,Work from home,Research and Analytics
239,Sales – AI Product,Trustscape Technologies Private Limited,Work from home,Social Media MarketingPresentation skillsNetworkingCold CallingAnalytical ThinkingClient Relationship Management (CRM)Lead Generation+3 more
240,Business Development (Sales),The Hiring Stories,Work from home,Digital MarketingEmail MarketingMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)
241,AI & Data Science,Inorbvict Healthcare India Private Limited,Pune,Data ScienceArtificial intelligence
242,Data Research & AI Assistant (Quipo – Digital Magazine Launch),"Quipo (Sydney, Australia)",Work from home,Research and AnalyticsGoogle SheetsChatGPTPerplexity
243,Data Analytics,APEX ENGINEERING,Work from home,JavaPythonSQLData AnalyticsMS-ExcelData ScienceData Interpretation+4 more
244,SEO Analyst,Shiplee,Work from home,Search Engine Marketing (SEM)Search Engine Optimization (SEO)Analytical Thinking
245,"Shopify Store Designer, Automation Specialist And Landing Page Developer",Sriven Commerce,Work from home,Social Media MarketingBrandingWordPressVideo EditingSearch Engine Optimization (SEO)Design ThinkingShopify+1 more
246,Growth Marketer,Anchors.in,Noida,Email MarketingAutomationLead GenerationInterpersonal skillsMarketingEffective Communication
247,Quant Developer,QuantGlobal,"Delhi, Noida",PythonFinanceMongoDBMachine LearningFinancial ModelingStatisticsC++ Programming+7 more
248,Search Engine Optimization (SEO),TVM Info Solutions Private Limited,Mumbai                                                                (Hybrid),Social Media MarketingGoogle AnalyticsSearch Engine Marketing (SEM)Digital MarketingGoogle AdWordsSearch Engine Optimization (SEO)
249,Data Annotation,RoadVision AI Private Limited,South,Data InterpretationData Annotation
250,AI Engineer,Sameer Khatri,Bangalore                                                                (Hybrid),PythonMachine LearningAmazon Web Services (AWS)Natural Language Processing (NLP)Artificial intelligenceGenerative AI ToolsLLMOps+1 more
251,Digital Marketing,Ample Technologies,Bangalore,Social Media MarketingGoogle AnalyticsSearch Engine Marketing (SEM)Search Engine Optimization (SEO)Creative WritingEmail MarketingEnglish Proficiency (Spoken)
252,Social Media Marketing,Om Technologies Private Limited,Aurangabad                                                                (Hybrid),Digital MarketingFacebook MarketingEmail Marketing
253,Video Annotator,Indika AI Private Limited,Work from home,Attention to DetailTime ManagementData AnalyticsTechnical AnalysisArtificial intelligenceMachine Learning Operations (MLOps)Self-learning+2 more
254,Content and Social Media Marketing,Biosolutions Cosmetics,Delhi,Social Media MarketingVideo EditingContent MarketingInstagram Ads
255,Graphic Design,Om Kiran Group,Noida,Adobe PhotoshopVideo EditingAdaptabilityCanvaEffective CommunicationAI Video GenerationAI Image Generation
256,Automation And Business Operations,PaySprint Private Limited,Delhi,JavaScriptPythonDockerEffective CommunicationGoogle Sheets
257,Digital Marketing,Wolf Lifts,Delhi,Social Media MarketingDigital MarketingSearch Engine Optimization (SEO)Creative Writing
258,Search Engine Optimization (SEO),Webwingz Software Private Limited,Work from home,English Proficiency (Written)
259,Digital Marketing,Vanel Tech India Private Limited,Work from home,Social Media MarketingSearch Engine Marketing (SEM)Digital MarketingData AnalyticsGoogle AdWordsSearch Engine Optimization (SEO)Content Marketing+1 more
260,AI Video Editor,NextMind Solutions,Work from home,Video EditingGenerative AI ToolsAI Video GenerationAI Image Generation
261,AI Artist,Dashtoon,Bangalore                                                                (Hybrid),Artificial intelligenceDigital Art
262,Data Analytics,GoMechanic,Pune,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
263,Market Research,RRR,Work from home,MS-WordMS-Excel
265,Data Mining - Part Time,Indika AI Private Limited,Work from home,Time ManagementComputer skillsData Extraction
266,Search Engine Optimization (SEO),Eximine Private Limited,Delhi,Google AnalyticsSearch Engine Optimization (SEO)
267,General Management,GraphixPro Design Academy,Mumbai,CoordinationEnglish Proficiency (Spoken)English Proficiency (Written)Canva
268,Tech Assistant,Supervaisor.AI,Work from home,Attention to DetailTime ManagementProblem SolvingEnglish Proficiency (Spoken)English Proficiency (Written)AdaptabilityGoogle Workspace+3 more
269,Performance/Growth Marketer,Devavi Media,Work from home,Google AnalyticsGoogle AdWordsMS-ExcelFacebook AdsGoogle Tag Manager
270,Data Analyst,APEX ENGINEERING,Work from home,MySQLPythonSQLData AnalyticsMS-ExcelStatisticsData Interpretation+6 more
271,Graphic Design,Ekam Ventures,Bangalore,Social Media MarketingVideo EditingVisual DesignCanvaGenerative AI ToolsGraphic Design
272,Fresher Marketing Analyst(Work From Home),ABUEM WORKIFYING LLP,Work from home,Team ManagementAttention to DetailMarket AnalysisProblem SolvingData InterpretationMarket researchEffective Communication+6 more
273,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,PythonMachine LearningNatural Language Processing (NLP)Deep Learning
274,AI Agent Development,NAVNEET TOPTECH,Mumbai,JavaScriptPythonAPIsLangChainPrompt EngineeringChatGPTLLMOps
275,Business Analytics,DeepThought CultureTech Ventures Private Limited,Work from home,Business Analysis
276,Founders Office,OZI,Gurgaon,Data AnalyticsAdministrative Support
277,Artificial Intelligence (AI),DeepThought CultureTech Ventures Private Limited,Work from home,Artificial intelligence
278,Grafana,Jampot Technologies Private Limited,"Thane, Navi Mumbai, Mumbai",Data VisualizationPerformance Monitoring
279,Prompt Engineering (Female),Northbridge Consulting,Work from home,English Proficiency (Spoken)English Proficiency (Written)
280,Data Science,Primetrade.ai,Work from home,PythonTime ManagementStatisticsCryptographyStock Tradingweb3.jsNumPy+2 more
281,Vessel Performance,GET Marine Management (India) Pvt Ltd - Geoserve,Mumbai,MS-ExcelEffective Communication
282,Business Research,Sabato Exports Pvt Ltd,Delhi,MS-OfficeMS-WordReport WritingEnglish Proficiency (Spoken)
283,Operations,Next Labs,Mumbai,MS-OfficeDigital MarketingTime ManagementSearch Engine Optimization (SEO)MultitaskingEnglish Proficiency (Spoken)English Proficiency (Written)+1 more
284,AI System Development & Automation,Fast Action Claims,Work from home,JavaPythonOpenAI APIGenerative AI ToolsChatGPT
285,Performance Marketing,Break The Code,"Thane, Navi Mumbai, Mumbai, Virar, Vashi, Vasai, Mira Bhayandar, Nala Sopara, Borivali Tarf Rahur, Vasai-Virar, Bandra",Google AdWordsFacebook MarketingLead GenerationEnglish Proficiency (Spoken)English Proficiency (Written)Facebook AdsInstagram Ads
286,Performance Marketing (Paid Ads),8Views,"Secunderabad, Hyderabad",Google AnalyticsSearch Engine Marketing (SEM)Google AdWordsDigital AdvertisingFacebook Ads
287,Machine Learning,NoirCapial,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
288,Artificial Intelligence (AI),NoirCapial,Work from home,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more
289,Data Analytics,NoirCapial,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
290,System Design,International Institute Of SDGs & Public Policy Research,Work from home,English Proficiency (Spoken)Feature Engineering
291,Data Analytics,TwiLearn EduTech Private Limited,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
292,Product (AI Content & Analytics),OpenPrep Academy,Work from home,PythonPostgreSQLPrompt EngineeringLLM evaluation
293,Founders Office,Hybr1d Technologies Private Limited,Work from home,Social Media MarketingData AnalyticsMarket AnalysisResearch and AnalyticsSalesMarketing
294,Agentic AI,International Institute Of SDGs & Public Policy Research,Work from home,Statistical ModelingMachine LearningNeural NetworksEnglish Proficiency (Spoken)Predictive AnalyticsArtificial intelligencePython Libraries
295,AI/ML AI Agent Development,Tellis Technologies Private Limited,Work from home,JavaScriptPythonMachine LearningData ScienceReactArtificial intelligenceData Analysis+2 more
296,Business Analytics,Pexaworks Technologies Private Limited,Work from home,PythonSQLData AnalyticsBusiness AnalysisResearch and Analytics
297,Machine Learning,TSTEPS PRIVATE LIMITED,"Chennai, Mumbai, Bangalore, Kerala, Puduchery (Hybrid)",PythonData AnalyticsR ProgrammingData ScienceDeep LearningArtificial intelligence
298,Python Development,TSTEPS PRIVATE LIMITED,"Chennai, Mumbai, Hyderabad, Kerala, Puduchery (Hybrid)",HTMLCSSPythonDjangoMachine Learning
299,Artificial Intelligence (AI),Learnify Technologies Private Limited,Noida,Artificial intelligenceMarketing Campaigns Prompt Engineering
300,Artificial Intelligence (AI),Sai Kalyan,Work from home,HTMLPython
301,Data Science,Business Quant,Work from home,PythonData AnalyticsData Science
302,Social Media Marketing,Hyphiin,Work from home,Social Media MarketingDigital MarketingFacebook MarketingCreative WritingEnglish Proficiency (Written)Instagram Marketing
303,Email Marketing,Flynaut Infotech Private Limited,Pune,Email MarketingEmail Management
304,Digital Marketing,YuviB Strategic Value Partners,Pune,Social Media MarketingDigital MarketingCreative WritingEmail MarketingEnglish Proficiency (Spoken)English Proficiency (Written)Canva+2 more
306,Equity Research,Business Quant,Work from home,MS-Excel
307,Machine Learning Engineer - Forecasting And Buy Algorithms,Mohan Gopalakrishna,Work from home,PythonMachine LearningData Science
308,Full Stack Development,LiteThink AI,Work from home,HTMLJavaScriptNode.jsReactFirebaseGoogle Cloud Platforms (GCP)OpenAI API+2 more
309,AI Drone Engineer,Oxygen To Innovation,Noida,Embedded SystemsC++ ProgrammingArtificial intelligence
310,Video Editing/Making,MostlyKool,Work from home,Adobe PhotoshopAdobe IllustratorVideo EditingAdobe Premiere ProFinal Cut ProVideo Making
311,Artificial Intelligence (AI),SystemaOps,Work from home,Artificial intelligence
312,Intelligent Transportation Systems (ITS) Researcher,The Asian Institute Of Transport Development,Delhi,PythonTime ManagementMachine LearningProblem SolvingLiterature ReviewArtificial intelligenceEffective Communication+5 more
313,Digital Marketing & Creative Storytelling,Amplyft Training Services Private Limited,Mumbai                                                                (Hybrid),Social Media MarketingMS-OfficeContent WritingCreative WritingCanvaGenerative AI Tools
314,Quality And Policy,Unibots,Work from home,Quality Assurance/Quality Control (QA/QC)
315,Inside Sales,Caresoft Systems Private Limited,Mira Bhayandar,MS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication
316,Python Development,Everything About AI,Work from home,CSSPythonMongoDBMachine LearningPostgreSQLREST APIDeep Learning+4 more
317,Neuro Technology,TSTEPS PRIVATE LIMITED,"Chennai, Madurai, Bangalore, Kerala, Andra, Puduchery                                                                (Hybrid)",Machine LearningEmbedded SystemsSignal Processing
318,AI Agent Development,Aditya Jha,Work from home,JavaScriptPythonNode.jsJSONREST APIAPIsOpenAI API+1 more
319,Data Research & Lead Generation,MSA Software,Work from home,Search Engine Optimization (SEO)Data entryMarketing StrategyResearch and AnalyticsMarket research
320,AI Product Strategy,Altekchain Software Solutions,Work from home,PythonPresentation skillsMS SQL ServerAnalytical ThinkingProduct Lifecycle Management(PLM)Effective CommunicationData Analysis+1 more
321,Information Technology,"Milltex Blanks Inc (New York, United States)",Work from home,PythonAPIsReplit (GenAI)
322,Robotics,Gephr Labs,Hyderabad,PythonRoboticsC++ Programming
323,Inside Sales,ChitraMandir Creations,Work from home,NegotiationMarket AnalysisCold CallingLead Generation
324,AI Video Creator And Prompt Engineer,Village Talkies,Bangalore,CreativityAttention to DetailTime ManagementScript WritingVideo MakingAnimationStorytelling+10 more
325,AI & Automation Expert (Remote- Full-Time),"Pearl Lemon (London, United Kingdom)",Work from home,Problem SolvingAutomationData entryData InterpretationEffective CommunicationAPIs
326,Business/Data Research,KP Hospicare Enterprises,Noida,Attention to DetailAnalytical ThinkingDatabase Management System (DBMS)Interpersonal skillsResearch and AnalyticsMarket research
327,Social Media Marketing,GM's SpeechGears Private Limited,"Delhi, Gurgaon, Meerut, Greater Noida, Noida",Social Media MarketingDigital MarketingSearch Engine Optimization (SEO)Instagram Marketing
328,MIS,Delta8 Technologies,Thane,MathematicsAdvanced ExcelGoogle Sheets
329,FPGA Developer,Vicharak Computers LLP,Surat,VLSIVerilogVHDLFPGA Synthesis and PrototypingDebugging
330,Management Information System,Tapovan Impex Private Limited,Delhi,SQLAdvanced ExcelPower BIGoogle Sheets
331,AI Agent Development,Zoxima Solutions Private Limited,Work from home,JavaScriptPythonGenerative AI Tools
332,Social Media Marketing,Exotic Musings,Bangalore                                                                (Hybrid),Digital MarketingE-commerceFacebook MarketingInstagram Marketing
333,Operations,A Pardawala,Mumbai,MS-OfficeMS-WordMS-PowerPointMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)
334,Data Generation,Skan.ai,Bangalore                                                                (Hybrid),Python
335,Data Analytics,The Affordable Organic Store,Hyderabad,MS-OfficeSQLData AnalyticsMS-ExcelData SciencePower BI
336,SAP BI (Business Intelligence) & Analytics,Entrepreneur Growth Lab (OPC) Private Limited,Noida                                                                (Hybrid),Data AnalyticsMS-ExcelBusiness AnalysisData VisualizationPower BITableauData Analysis+2 more
337,Machine Learning,Tilak Karveran,Work from home,PythonSQLData AnalyticsMachine LearningNoSQLscikit-learnSeaborn
338,Artificial Intelligence (AI),Nobrokerage.com,Pune,JavaPythonData StructuresArtificial intelligenceJuliaOpenAI APIKeras+2 more
339,Google & Meta Ads Manager,Ayatrio,Kolkata,Google AnalyticsGoogle AdWordsAnalytical ThinkingInstagram MarketingYouTube AdsFacebook AdsGoogle Tag Manager
340,Quant Researcher,QuantGlobal,"Delhi, Ghaziabad, Greater Noida, Noida",PythonStatistical ModelingMachine LearningFinancial ModelingTableauStock TradingData Analysis+3 more
341,Quant Developer,QuantGlobal,"Delhi, Noida",PythonMongoDBMachine LearningC++ ProgrammingStock TradingAPIsProbability
342,Data Analytics,Satyanarayana S,Work from home,PythonSQLData Analytics
343,Node.js Generative AI/ML Developer,Arakoo,Work from home,Node.jsExpress.jsTypeScriptTerraform
344,Quant Developer,AlgoBulls,Work from home,PythonGitGitHubData ScienceBashQuantitative Research
345,AI Agent Development,EshiaBIM,Ahmedabad,JSONFrontend developmentMicrosoft AzureREST APIAmazon Web Services (AWS)CI/CDFastAPI+9 more
347,Full Stack Development - AI,Yardstick,Work from home,HTMLCSSJavaScriptMongoDBNode.jsReactNext.js
348,AI Agent Development,Yardstick,Work from home,PythonMachine Learning
349,Export Import,Fortuna Enterprise,Vadodara,Marketing
350,Social Media Marketing,Marketing Matrix,Jaipur,Social Media MarketingDigital MarketingInstagram MarketingFacebook Ads
351,Digital Marketing,Wow!Zindagi,Ranchi,Social Media MarketingSearch Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO)Facebook MarketingCreative WritingEnglish Proficiency (Written)+1 more
352,AI Business Development,Redjinni Industries Private Limited,Work from home,Digital AdvertisingInterpersonal skillsEffective Communication
353,Vibe Coders,Stirring Minds,Work from home,Web developmentArtificial intelligenceOpenAI APIClaudeVibe CodingCursor (GenAI)Lovable (GenAI)
354,Sales & Marketing (AI Assessment Platform),Ability Audit SML Services,Mumbai,Sales ManagementBusiness DevelopmentSalesMarketing
355,DSA (Data Structures And Algorithms) Mentor,Mikado Solutions,Work from home,JavaPythonAlgorithmsData Structures
356,Business,FeedbackEd,Work from home,MS-PowerPointCreative ThinkingStrategyCreative WritingProcess ManagementCanvaMarketing
357,AI Video Generation,AskIITians Web Private Limited,Work from home,Adobe Premiere ProCanvaCapcut
358,Business Analytics,Hamsi Marketing Private Limited,Hyderabad,PythonData AnalyticsMS-ExcelResearch and Analytics
359,Tech & Automation,Soulflower,Mumbai,AutomationTechnical SupportArtificial intelligenceTest Automation
360,Data And AI Architect,Sorvanis,Work from home,PythonData AnalyticsLangChain
361,Video Editing/Making,SQB Pictures,Delhi,Adobe PhotoshopAdobe IllustratorVideo EditingAdobe Premiere ProVideo Making
362,Business Analytics,ValQuant Research Private Limited,Thane,Social Media MarketingMS-OfficeData AnalyticsBusiness AnalysisEnglish Proficiency (Written)Marketing Campaigns
363,Project Management,The Concept Company,Mumbai,Project ManagementMS-ExcelClient RelationshipEffective Communication
364,AI Agent Development,Awwgment,Work from home,PythonREST APITransformersFastAPIAPIsOpenAI APILangChain+4 more
365,Market Research,We3 Tech Works,Mumbai                                                                (Hybrid),Research and Analytics
366,Social Media Marketing,Gemlay Jewels,Mohali,Social Media MarketingEnglish Proficiency (Written)Instagram Marketing
367,Content and Social Media Marketing,Katalyst India,Mumbai                                                                (Hybrid),LinkedIn MarketingCanvaInstagram Marketing
368,Business Development (Sales),OptivisX,"Delhi, Gurgaon, Noida                                                                (Hybrid)",Digital MarketingEmail MarketingEnglish Proficiency (Spoken)English Proficiency (Written)
369,Business Development (Sales),Hiringjet,Bangalore,B2B SalesInside Sales
370,LLM,Indika AI Private Limited,Delhi,MySQLPythonMachine Learning
371,Artificial Intelligence (AI),Almost Magic Private Limited,"Chandigarh, Mohali, Panchkula",PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+1 more
372,Artificial Intelligence (AI),Pulse Labs,Work from home,MS-OfficeSoftware TestingArtificial intelligence
373,Business Development (Sales),Ratoon Professional Services Private Limited,Work from home,MS-ExcelSales ManagementSales
374,Digital Growth & Performance Marketing,Mayuresh Darne,"Navi Mumbai, Belapur, Vashi Navi Mumbai                                                                (Hybrid)",Social Media MarketingMarketing StrategyContent MarketingDigital AdvertisingGraphic Design
375,Operations Assistant,Himanshi Sharma,Work from home,Problem SolvingEnglish Proficiency (Written)CanvaChatGPT
376,Digital Marketing,Navicater Solutions India Private Limited,Kochi,Social Media MarketingAdobe IllustratorSearch Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO)Facebook MarketingCreative Writing+2 more
377,Social Media Marketing,Glowil Kart By PSS Tradelink,Pune                                                                (Hybrid),Social Media MarketingDigital MarketingSearch Engine Optimization (SEO)Facebook MarketingInstagram Marketing
378,Inbound/Digital Marketing,Cardtree,Work from home,Social Media MarketingWordPressVideo EditingSearch Engine Optimization (SEO)Email MarketingVideo MakingWeb development+5 more
379,Social Media Marketing,Dr Karanjeet Singh,Delhi,Social Media MarketingSearch Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO)Facebook MarketingEnglish Proficiency (Spoken)English Proficiency (Written)+1 more
380,Content & Research Associate,Ampliverse,Work from home,MS-OfficeDigital MarketingSearch Engine Optimization (SEO)Analytical ThinkingEnglish Proficiency (Written)Research and AnalyticsGoogle Suite (G Suite)+2 more
381,Excel Expert and Communication Expert,JP IT STAFFING LLC,Work from home,MISData AnalysisCollectionsReport Generation
382,Regulatory Data Research & Automation (Finance & Compliance),Neurasix AI Private Limited,Work from home,Data Extraction
383,Data Labelling,Radic Advertising Private Limited,Hyderabad                                                                (Hybrid),PythonMS-ExcelJSON
384,Business Analytics,Stayfindz,Pune,PythonData AnalyticsMS-Excel
385,Artificial Intelligence (AI),URE Legal Advocates,Noida,PythonMachine LearningNatural Language Processing (NLP)Deep Learning
386,Market Research,Techsurge Learning Private Limited,Jaipur,MS-OfficeMS-ExcelEnglish Proficiency (Written)Research and AnalyticsInternet
388,AI Specialist,QuantGlobal,Noida,PythonArtificial intelligenceAPIsGenerative AI DevelopmentArtificial Intelligence Markup Language (AIML)LangChainLLMOps
389,EXPORT MIS ANALYST,JP IT STAFFING LLC,Work from home,MISData AnalysisCollectionsReport Generation
390,Sales and Marketing,Amol Technologies,Nashik,MarketingEffective CommunicationSales Strategy
391,Marketing,MoneySquad,Delhi,Social Media MarketingDigital MarketingEmail MarketingMS-ExcelInside Sales
392,Full Stack AI Engineer,DigiPlus IT,"Mumbai, Maharashtra",MongoDBNode.jsUI & UX DesignDockerGitHubTypeScriptDevOps+6 more
393,Arabic Language Specialist,NoBroker,Bangalore,English Proficiency (Spoken)Arabic Proficiency (Spoken)Arabic Proficiency (Written)
394,Artificial Intelligence (AI),Evolvra,Work from home,PythonMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep LearningArtificial intelligence
395,Software Engineer,Giddly.com,Work from home,PythonMachine LearningReact NativeGolangTypeScriptArtificial intelligence
396,MIS Executive,SciAstra Education Private Limited,Noida,Data AnalyticsAdvanced ExcelEnglish Proficiency (Spoken)Power BIVLOOKUP
397,Artificial Intelligence (AI),Kazunov 1AI,Work from home,PythonTensorFlowPyTorch
398,Machine Learning,EvoNexis,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
399,Data Analytics,EvoNexis,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
400,Business Development (Sales),BR SoftSol,Work from home,Social Media MarketingDigital MarketingEmail MarketingMS-ExcelLead GenerationEnglish Proficiency (Spoken)English Proficiency (Written)+2 more
401,Digital Marketing,SRS Media,Coimbatore,Digital Marketing
402,Social Media Analysis,DeepThought CultureTech Ventures Private Limited,Work from home,Business AnalysisPsychology
403,Data Science AI&ML Python Research,Megaminds IT Services,Work from home,JavaPythonDjangoMachine LearningComputer VisionFlaskDeep Learning+9 more
404,Machine Learning,Pexaworks Technologies Private Limited,Work from home,PythonMachine LearningTensorFlowPyTorch
405,Technical Writer,DTALES Tech,Bangalore                                                                (Hybrid),Content WritingSearch Engine Optimization (SEO)Technical WritingContent MarketingContent Editing
406,Data Analytics,Glorious Insight Private Limited,Mumbai,SQLPower BI
407,Artificial Intelligence (AI),Hubnine India Private Limited,Work from home,CSSContent WritingPythonData StructuresMachine LearningData ScienceReact+6 more
408,Ticket Inventory Management,Eva Live,Mumbai,MS-ExcelInterpersonal skillsEffective CommunicationGoogle Sheets
409,AI-Powered Video Editor,Gautam  Kumawat,Jaipur,Video EditingAdobe Premiere ProAdobe AuditionAdobe After EffectsColor GradingCapcutVisual Storytelling+3 more
410,Market Research,KnowledgeChakra,Work from home,Effective Communication
411,Digital Marketing,HFS Hearing Clinics Private Limited,Lucknow,Search Engine Marketing (SEM)Digital Marketing
412,Social Media Marketing,House Of Qalakari,Bangalore                                                                (Hybrid),Social Media MarketingAdobe PhotoshopImage EditingEnglish Proficiency (Spoken)Graphic Design
413,Market Research Specialist,The Coding Wale,Bangalore                                                                (Hybrid),MS-PowerPointMS-ExcelCanva
414,Business Development (Sales),Finding Futures HR,Mumbai,Social Media MarketingDigital MarketingEnglish Proficiency (Spoken)
415,Artificial Intelligence (AI),Kunal Kapur,"Delhi, Gurgaon",Python
416,Data Analytics- Internship,Brooke Hospital For Animals (India),Noida                                                                (Hybrid),Advanced ExcelPower BI
417,Social Media Manager & Content Strategist,Duostones LLC,Work from home,Social Media MarketingContent Management
418,Marketing Tech,Imtrained,Work from home,Data AnalyticsAnalytical ThinkingComputer skillsClient Relationship Management (CRM)Marketing Strategies Marketing Automation
419,Biomedical,Value Kare Healthtech LLP,"Pune, Hyderabad, Jaipur, Bangalore",MS-PowerPointAutomationAdvanced ExcelPower BICanvaData Analysis
420,Creative Design,VijanX,Jaipur,UI & UX DesignDesign ThinkingEnglish Proficiency (Written)CanvaAdobe XDFigma
421,Pre- Sales,Lingual Consultancy Services,Gurgaon,MS-OfficeResearch and Analytics
422,Founder Office,Daalchini Technologies,Noida,JavaMySQLPythonSQLMS-ExcelAutomationData Analysis+1 more
423,Field Survey Executive,Pooja Consulation Company,Manesar,Field WorkEffective Communication
424,Digital Marketing,SM Services,Pune,Social Media MarketingSearch Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO)Facebook MarketingEmail MarketingInstagram Marketing
425,Inside Sales,CloudBC Labs Private Limited,Bangalore                                                                (Hybrid),Cold CallingComputer skillsLead GenerationBusiness Development
426,Marketing,RotoAI Private Limited,Delhi,Social Media MarketingMS-OfficeBloggingMS-PowerPointPresentation skillsDigital MarketingEmail Marketing+4 more
427,AI Agent Development,Stareout Games,Work from home,Artificial intelligence
429,Generative AI Machine Learning,Arakoo,"Delhi, Noida",Python
430,Sales and Marketing,The Growth Hive,Hyderabad                                                                (Hybrid),Lead Generation
431,AI Agent Development (Only Night Shift),Big Internet E-commerce Private Limited,Work from home,JavaScriptAmazon Web Services (AWS)APIsLangChainNestJSLLMOps
432,Data Analytics,Symonis,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
433,Digital Marketing & Content Creation Intern,Job Vault,Work from home,Digital MarketingEmail MarketingContent ManagementLinkedIn MarketingCanvaInstagram MarketingInstagram Ads+5 more
434,Mobile App Development,VigiSafeMed,Work from home,PythonMachine LearningNode.jsFlutterReact NativeiOSAndroid+1 more
435,Data Analytics,Ergode IT Services Private Limited,Mumbai,MS-PowerPointData AnalyticsMS-ExcelPower BICanvaEffective CommunicationData Cleaning+2 more
436,MIS Executive,Sky Creation Interior Designers,Navi Mumbai,Data VisualizationAdvanced ExcelMISGoogle Cloud Platforms (GCP)Report GenerationGoogle Sheets
437,Digital Marketing,DJRS Hospitality,Mumbai,Social Media MarketingDigital MarketingFacebook MarketingCreative WritingEmail MarketingEnglish Proficiency (Spoken)English Proficiency (Written)+1 more
438,Social Media Marketing,ADG Online Solutions Private Limited,Delhi,Social Media MarketingSearch Engine Marketing (SEM)Digital MarketingSearch Engine Optimization (SEO)Facebook MarketingEmail MarketingInstagram Marketing
439,AI Agent Development,WhizJuniors,Mumbai                                                                (Hybrid),PythonProblem SolvingDatabase TestingFirebaseAPIsChatGPTGemini
440,Virtual AI Internship Opportunity: Safer Cities Challenge,Multiverz,Work from home,Critical thinkingProblem SolvingArtificial intelligenceGenerative AI Tools
441,Content and Social Media Marketing,UpliftU,"Thane, Mumbai",Social Media MarketingVideographyFacebook MarketingPhotographyContent ManagementInstagram Marketing
442,AI/ML Dev,Trinity Packaging Co. Pvt. Ltd.,Mumbai                                                                (Hybrid),PythonDockerArtificial intelligenceAPIsLLMOps
443,Data Science,Accredian,Work from home,PythonVideo EditingSQLMachine LearningVideo MakingR ProgrammingDeep Learning+1 more
444,FinTech & Data Analytics,Nebulytix Technologies,"Chennai, Delhi, Hyderabad, Mumbai, Bangalore, Andhra Pradesh",JavaPython.NETWeb developmentDigital AdvertisingArtificial intelligence
445,Social Media & Content,Eveens Infominds Private Limited,Delhi,Social Media MarketingContent WritingMS-ExcelCanvaInterpersonal skillsEffective CommunicationCapcut
446,Marketing,Prodigy Infratech LLP,Noida                                                                (Hybrid),Social Media Marketing
